"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"MÉZARD","Jacques","RDSE","Parti radical de gauche","H","Cantal","jacques-mezard","http://www.senat.fr/senateur/mezard_jacques08051v.html"
"MICHEL","Jean-Pierre","SOC","Parti socialiste","H","Haute-Saône","jean-pierre-michel","http://www.senat.fr/senateur/michel_jean_pierre04084n.html"
"MICHEL","Danielle","SOC","Parti socialiste","F","Landes","danielle-michel","http://www.senat.fr/senateur/michel_danielle11014c.html"
"MILON","Alain","UMP","Union pour un Mouvement Populaire","H","Vaucluse","alain-milon","http://www.senat.fr/senateur/milon_alain04092n.html"
"MIQUEL","Gérard","SOC","Parti socialiste","H","Lot","gerard-miquel","http://www.senat.fr/senateur/miquel_gerard92039x.html"
"MIRASSOU","Jean-Jacques","SOC","Parti socialiste","H","Haute-Garonne","jean-jacques-mirassou","http://www.senat.fr/senateur/mirassou_jean_jacques08033t.html"
"MOHAMED SOILIHI","Thani","SOC","Parti socialiste","H","Mayotte","thani-mohamed-soilihi","http://www.senat.fr/senateur/mohamed_soilihi_thani11072n.html"
"de MONTESQUIOU","Aymeri","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Gers","aymeri-de-montesquiou","http://www.senat.fr/senateur/de_montesquiou_aymeri98032r.html"
"de MONTGOLFIER","Albéric","UMP","Union pour un Mouvement Populaire","H","Eure-et-Loir","alberic-de-montgolfier","http://www.senat.fr/senateur/de_montgolfier_alberic08011m.html"
"MORIN-DESAILLY","Catherine","UDI-UC","Association PSLE Nouveau Centre","F","Seine-Maritime","catherine-morin-desailly","http://www.senat.fr/senateur/morin_desailly_catherine04070g.html"
"NACHBAR","Philippe","UMP","Union pour un Mouvement Populaire","H","Meurthe-et-Moselle","philippe-nachbar","http://www.senat.fr/senateur/nachbar_philippe92040q.html"
"NAMY","Christian","UDI-UC","Le Centre pour la France","H","Meuse","christian-namy","http://www.senat.fr/senateur/namy_christian11082q.html"
"NAVARRO","Robert","SOC","Parti socialiste","H","Hérault","robert-navarro","http://www.senat.fr/senateur/navarro_robert08021p.html"
"NÈGRE","Louis","UMP","Union pour un Mouvement Populaire","H","Alpes-Maritimes","louis-negre","http://www.senat.fr/senateur/negre_louis08042u.html"
"NÉRI","Alain","SOC","Parti socialiste","H","Puy-de-Dôme","alain-neri","http://www.senat.fr/senateur/neri_alain11105e.html"
"NICOUX","Renée","SOC","Parti socialiste","F","Creuse","renee-nicoux","http://www.senat.fr/senateur/nicoux_renee09012s.html"
"PASQUET","Isabelle","CRC","Parti communiste Français","F","Bouches-du-Rhône","isabelle-pasquet","http://www.senat.fr/senateur/pasquet_isabelle08026u.html"
"PASTOR","Jean-Marc","SOC","Parti socialiste","H","Tarn","jean-marc-pastor","http://www.senat.fr/senateur/pastor_jean_marc95052h.html"
"PATIENT","Georges","SOC","Parti socialiste","H","Guyane","georges-patient","http://www.senat.fr/senateur/patient_georges08073c.html"
"PATRIAT","François","SOC","Parti socialiste","H","Côte-d'Or","francois-patriat","http://www.senat.fr/senateur/patriat_francois08061x.html"
"PAUL","Philippe","UMP","Union pour un Mouvement Populaire","H","Finistère","philippe-paul","http://www.senat.fr/senateur/paul_philippe08047a.html"
"PERCHERON","Daniel","SOC","Parti socialiste","H","Pas-de-Calais","daniel-percheron","http://www.senat.fr/senateur/percheron_daniel83047w.html"
"PEYRONNET","Jean-Claude","SOC","Parti socialiste","H","Haute-Vienne","jean-claude-peyronnet","http://www.senat.fr/senateur/peyronnet_jean_claude95055l.html"
"PIERRE","Jackie","UMP","Union pour un Mouvement Populaire","H","Vosges","jackie-pierre","http://www.senat.fr/senateur/pierre_jackie04088s.html"
"PILLET","François","UMP","Union pour un Mouvement Populaire","H","Cher","francois-pillet","http://www.senat.fr/senateur/pillet_francois07034q.html"
"PINTAT","Xavier","UMP","Union pour un Mouvement Populaire","H","Gironde","xavier-pintat","http://www.senat.fr/senateur/pintat_xavier98021n.html"
"PINTON","Louis","UMP","Union pour un Mouvement Populaire","H","Indre","louis-pinton","http://www.senat.fr/senateur/pinton_louis07032n.html"
"PIRAS","Bernard","SOC","Parti socialiste","H","Drôme","bernard-piras","http://www.senat.fr/senateur/piras_bernard96006f.html"
"PLACÉ","Jean-Vincent","ECOLO","Europe Écologie Les Verts","H","Essonne","jean-vincent-place","http://www.senat.fr/senateur/place_jean_vincent11069t.html"
"PLANCADE","Jean-Pierre","RDSE","Parti radical de gauche","H","Haute-Garonne","jean-pierre-plancade","http://www.senat.fr/senateur/plancade_jean_pierre98010k.html"
"POHER","Hervé","SOC","Parti socialiste","H","Pas-de-Calais","herve-poher","http://www.senat.fr/senateur/poher_herve13002u.html"
"POINTEREAU","Rémy","UMP","Union pour un Mouvement Populaire","H","Cher","remy-pointereau","http://www.senat.fr/senateur/pointereau_remy05012a.html"
"PONCELET","Christian","UMP","Union pour un Mouvement Populaire","H","Vosges","christian-poncelet","http://www.senat.fr/senateur/poncelet_christian77058m.html"
"PONIATOWSKI","Ladislas","UMP","Union pour un Mouvement Populaire","H","Eure","ladislas-poniatowski","http://www.senat.fr/senateur/poniatowski_ladislas98050t.html"
"PORTELLI","Hugues","UMP","Union pour un Mouvement Populaire","H","Val-d'Oise","hugues-portelli","http://www.senat.fr/senateur/portelli_hugues04074l.html"
"POVINELLI","Roland","SOC","Parti socialiste","H","Bouches-du-Rhône","roland-povinelli","http://www.senat.fr/senateur/povinelli_roland08029x.html"
"POZZO di BORGO","Yves","UDI-UC","Le Centre pour la France","H","Paris","yves-pozzo-di-borgo","http://www.senat.fr/senateur/pozzo_di_borgo_yves04080j.html"
"PRIMAS","Sophie","UMP","Union pour un Mouvement Populaire","F","Yvelines","sophie-primas","http://www.senat.fr/senateur/primas_sophie11090q.html"
